Year,City,Province,Registered_Voters,Votes_Cast,Turnout_Percent,High_Turnout
1970,Attock,Punjab,440377.0,107411.0,24.390692520272403,0
1970,Bahawalnagar,Punjab,528290.0,139159.0,26.341403395862123,0
1970,Bahawalpur,Punjab,428326.0,167702.0,39.15288822065436,0
1970,Bannu,KPK,159937.0,60511.0,37.83427224469635,0
1970,Chitral,KPK,95206.0,6418.0,6.741171774888137,0
1970,Dadu,Sindh,317123.0,125615.0,39.61081346985239,0
1970,Dera Ghazi Khan,Punjab,489310.0,102938.0,21.037379166581513,0
1970,Dera Ismail Khan,KPK,192759.0,45978.0,23.85258275878169,0
1970,Dir,KPK,214104.0,14187.0,6.626219033740612,0
1970,Faisalabad,Punjab,1657561.0,630502.0,38.03793646206686,0
1970,Gujranwala,Punjab,888451.0,327493.0,36.86112120983599,0
1970,Gujrat,Punjab,889553.0,251276.0,28.24744562718579,0
1970,Hazara,KPK,684342.0,118154.0,17.265343936219026,0
1970,Hyderabad,Sindh,728661.0,248222.0,34.065498222081324,0
1970,Jacobabad,Sindh,239091.0,44920.0,18.787825555959863,0
1970,Jhang,Punjab,721237.0,228359.0,31.66213047860828,0
1970,Jhelum,Punjab,527072.0,120125.0,22.791003885617144,0
1970,Kalat,Balochistan,410635.0,61891.0,15.072022599145226,0
1970,Karachi City,Sindh,1405975.0,302852.0,21.54035455822472,0
1970,Khairpur,Sindh,333256.0,128437.0,38.54004128957918,0
1970,Kohat,KPK,247590.0,35817.0,14.466254695262329,0
1970,Lahore,Punjab,1499267.0,543783.0,36.269923902813844,0
1970,Larkana,Sindh,337916.0,129665.0,38.371962262810875,0
1970,Mardan,KPK,434844.0,87100.0,20.030171739750347,0
1970,Mianwali,Punjab,460184.0,107168.0,23.28807607391826,0
1970,Multan,Punjab,1701299.0,611063.0,35.91743720533545,0
1970,Muzaffargarh,Punjab,683544.0,150520.0,22.020528305419987,0
1970,Peshawar,KPK,568107.0,126693.0,22.300904583115503,0
1970,Quetta,Balochistan,545410.0,138978.0,25.481380979446655,0
